1.434132e+05	7.724847e-08	4.387627e-08	1.269605e-09	1.914241e-02	1.103391e-02	-2.012860e-12	-nan	-nan	-nan
1.912654e+05	7.986037e-08	4.403685e-08	9.157654e-07	1.583207e-02	9.251128e-03	-2.188489e-12	-nan	-nan	-nan
2.390698e+05	7.407559e-08	4.387124e-08	9.170611e-07	1.252173e-02	7.347002e-03	-9.168559e-13	-nan	-nan	-nan
2.868743e+05	7.713400e-08	4.416472e-08	8.730538e-07	1.079459e-02	6.614762e-03	-9.340828e-14	-nan	-nan	-nan
3.346309e+05	8.175253e-08	4.421669e-08	1.315685e-09	8.779601e-03	5.346249e-03	-1.407349e-12	-nan	-nan	-nan
3.824353e+05	8.381717e-08	4.522405e-08	1.342028e-09	8.347818e-03	5.077698e-03	-1.464556e-12	-nan	-nan	-nan
0.000000e+00	0.000000e+00	1.506299e-18	0.000000e+00	5.345358e-01	3.676253e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	1.090243e-04	2.297136e-05	2.108355e-06	3.950821e-02	2.267948e-02	1.270320e-05	-nan	-nan	-nan
9.560882e+04	9.077389e-05	1.938091e-05	4.345879e-07	2.396399e-02	1.348496e-02	8.950341e-06	-nan	-nan	-nan
1.434132e+05	7.797158e-08	2.774262e-08	1.680546e-09	1.907045e-02	1.083832e-02	-1.306077e-12	-nan	-nan	-nan
1.912654e+05	7.900549e-08	2.705663e-08	9.636617e-07	1.576010e-02	8.899415e-03	-1.192941e-12	-nan	-nan	-nan
2.390698e+05	8.262372e-08	2.786286e-08	9.722196e-07	1.302547e-02	7.303785e-03	-5.576366e-13	-nan	-nan	-nan
2.868743e+05	8.002525e-08	2.864923e-08	9.911043e-07	1.086656e-02	6.036369e-03	1.412963e-12	-nan	-nan	-nan
3.346309e+05	8.246355e-08	2.961630e-08	1.764335e-09	1.014692e-02	5.702049e-03	1.579307e-12	-nan	-nan	-nan
3.824353e+05	7.782321e-08	2.902871e-08	1.546365e-09	9.139421e-03	5.185250e-03	1.655117e-12	-nan	-nan	-nan
0.000000e+00	0.000000e+00	1.500182e-18	0.000000e+00	5.329526e-01	3.748278e-01	0.000000e+00	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.517594e-18	0.000000e+00	5.318731e-01	3.707092e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.099892e-04	2.827936e-04	1.112703e-05	1.247011e-01	1.069090e-01	7.367470e-04	-nan	-0.000000e+00	-nan
9.560882e+04	1.559710e-04	1.779710e-04	2.556752e-06	1.082934e-01	9.782442e-02	1.412200e-04	-nan	-0.000000e+00	-nan
1.434132e+05	4.627037e-04	6.212203e-06	3.627299e-07	1.006652e-01	9.340541e-02	-1.464362e-05	-nan	-0.000000e+00	-nan
